szakasz;ido;nev;nemzetiseg;csapat
3;4:01:18;Bernal Egan;COL;INEOS GRENADIERS
3;4:01:35;Nibali Vincenzo;ITA;TREK - SEGAFREDO
3;4:01:52;Alaphilippe Julian;FRA;DECEUNINCK - QUICK STEP
3;4:02:10;Pogacar Tadej;SLO;UAE TEAM EMIRATES
3;4:02:28;Evenepoel Remco;BEL;DECEUNINCK - QUICK STEP
3;4:02:45;Vingegaard Jonas;DEN;JUMBO - VISMA
3;4:03:00;Carapaz Richard;ECU;INEOS GRENADIERS
3;4:03:20;Kruijswijk Steven;NED;JUMBO - VISMA
3;4:03:38;Kelderman Wilco;NED;BORA - HANSGROHE
3;4:03:55;Buchmann Emanuel;GER;BORA - HANSGROHE
3;4:04:12;Fuglsang Jakob;DEN;ASTANA - PREMIER TECH
3;4:04:30;Lopez Miguel Angel;COL;ASTANA - PREMIER TECH
3;4:04:48;Vlasov Aleksandr;RUS;BORA - HANSGROHE
3;4:05:05;Ciccone Giulio;ITA;TREK - SEGAFREDO
3;4:05:22;Lutsenko Alexey;KAZ;ASTANA - PREMIER TECH
3;4:05:40;Formolo Davide;ITA;UAE TEAM EMIRATES
3;4:05:58;Jorgenson Matteo;USA;MOVISTAR TEAM
3;4:06:15;Higuita Sergio;COL;BORA - HANSGROHE
3;4:06:33;Bilbao Pello;SPA;BAHRAIN - VICTORIOUS
3;4:06:50;Gall Felix;AUT;AG2R CITROEN TEAM
3;4:07:08;Gaudu David;FRA;GROUPAMA - FDJ
3;4:07:25;Pinot Thibaut;FRA;GROUPAMA - FDJ
3;4:07:43;Martinez Emanuel;COL;COFIDIS
3;4:08:00;Cavendish Mark;GBR;DECEUNINCK - QUICK STEP
3;4:08:18;Ewan Caleb;AUS;LOTTO SOUDAL
3;4:08:35;Sagan Peter;SVK;BORA - HANSGROHE
3;4:08:52;Kristoff Alexander;NOR;UAE TEAM EMIRATES
3;4:09:10;Groenewegen Dylan;NED;JUMBO - VISMA
3;4:09:28;Jakobsen Fabio;NED;DECEUNINCK - QUICK STEP
3;4:09:45;Mezgec Luka;SLO;TEAM BIKEEXCHANGE
3;4:10:03;Trentin Matteo;ITA;UAE TEAM EMIRATES
3;4:10:20;Colbrelli Sonny;ITA;BAHRAIN - VICTORIOUS
3;4:10:38;Van Aert Wout;BEL;JUMBO - VISMA
3;4:10:55;Greipel Andre;GER;ISRAEL START-UP NATION
3;4:11:12;Viviani Elia;ITA;COFIDIS
3;4:11:30;De Gendt Thomas;BEL;LOTTO SOUDAL
3;4:11:48;Stuyven Jasper;BEL;TREK - SEGAFREDO
3;4:12:05;Küng Stefan;SUI;GROUPAMA - FDJ
3;4:12:22;Van Hooydonck Nathan;BEL;JUMBO - VISMA
3;4:12:40;Laengen Vegard Stake;NOR;UAE TEAM EMIRATES
3;4:12:58;Benoot Tiesj;BEL;JUMBO - VISMA
3;4:13:15;Bissegger Stefan;SUI;EF EDUCATION - NIPPO
3;4:13:33;Geschke Simon;GER;COFIDIS
3;4:13:50;Herrada Jesus;SPA;COFIDIS
3;4:14:08;Izagirre Ion;SPA;ASTANA - PREMIER TECH
3;4:14:25;Haig Jack;AUS;BAHRAIN - VICTORIOUS
3;4:14:43;Bardet Romain;FRA;TEAM DSM
3;4:15:00;Quintana Nairo;COL;TEAM ARKEA - SAMSIC
3;4:15:18;Valverde Alejandro;SPA;MOVISTAR TEAM
3;4:15:35;Porte Richie;AUS;INEOS GRENADIERS
3;4:15:52;Thomas Geraint;GBR;INEOS GRENADIERS
3;4:16:10;Yates Adam;GBR;INEOS GRENADIERS
3;4:16:28;Yates Simon;GBR;TEAM BIKEEXCHANGE
3;4:16:45;Dennis Rohan;AUS;INEOS GRENADIERS
3;4:17:03;Roglič Primož;SLO;JUMBO - VISMA
3;4:17:20;Mollema Bauke;NED;TREK - SEGAFREDO
3;4:17:38;Naesen Oliver;BEL;AG2R CITROEN TEAM
3;4:17:55;Cosnefroy Benoit;FRA;AG2R CITROEN TEAM
3;4:18:12;Vendrame Andrea;ITA;AG2R CITROEN TEAM
3;4:18:30;Paret-Peintre Aurelien;FRA;AG2R CITROEN TEAM
3;4:18:48;Hanninen Jaakko;FIN;AG2R CITROEN TEAM
3;4:19:05;Pons Gasparino;SPA;COFIDIS
3;4:19:22;Perez Anthony;FRA;COFIDIS
3;4:19:40;Edet Nicolas;FRA;COFIDIS
3;4:19:58;Le Bihan Niki;FRA;GROUPAMA - FDJ
3;4:20:15;Ladagnous Matthieu;FRA;GROUPAMA - FDJ
3;4:20:33;Guarnieri Jacopo;ITA;GROUPAMA - FDJ
3;4:20:50;Madouas Valentin;FRA;GROUPAMA - FDJ
3;4:21:08;Scotson Miles;AUS;GROUPAMA - FDJ
3;4:21:25;Walsh Alan;IRL;BAHRAIN - VICTORIOUS
3;4:21:43;Oss Daniel;ITA;BORA - HANSGROHE
3;4:22:00;Haller Marco;AUT;BORA - HANSGROHE
3;4:22:18;Mühlberger Gregor;AUT;BORA - HANSGROHE
3;4:22:35;Politt Nils;GER;BORA - HANSGROHE
3;4:22:53;Grossschartner Felix;AUT;BORA - HANSGROHE
3;4:23:10;Denz Nico;GER;TEAM DSM
3;4:23:28;Bok Martin;GER;TEAM DSM
3;4:23:45;Arndt Nikias;GER;TEAM DSM
3;4:24:03;Vervaeke Louis;BEL;ALPECIN - FENIX
3;4:24:20;Van der Poel Mathieu;NED;ALPECIN - FENIX
3;4:24:38;Philipsen Jasper;BEL;ALPECIN - FENIX
3;4:24:55;Krieger Alexander;GER;ALPECIN - FENIX
4;4:55:30;Pogacar Tadej;SLO;UAE TEAM EMIRATES
4;4:55:30;Roglic Primoz;SLO;JUMBO - VISMA
4;4:55:45;Bernal Egan;COL;INEOS GRENADIERS
4;4:56:02;Vingegaard Jonas;DEN;JUMBO - VISMA
4;4:56:20;Carapaz Richard;ECU;INEOS GRENADIERS
4;4:56:38;Alaphilippe Julian;FRA;DECEUNINCK - QUICK STEP
4;4:56:55;Evenepoel Remco;BEL;DECEUNINCK - QUICK STEP
4;4:57:12;Dupont Marcel;FRA;TEAM ARKEA - SAMSIC
4;4:57:30;García Tomás;SPA;CAJA RURAL - SEGUROS RGA
4;4:57:48;Nibali Vincenzo;ITA;TREK - SEGAFREDO
4;4:58:05;Bardet Romain;FRA;TEAM DSM
4;4:58:22;Gaudu David;FRA;GROUPAMA - FDJ
4;4:58:40;Pinot Thibaut;FRA;GROUPAMA - FDJ
4;4:58:58;Gall Felix;AUT;AG2R CITROEN TEAM
4;4:59:15;Bilbao Pello;SPA;BAHRAIN - VICTORIOUS
4;4:59:33;Higuita Sergio;COL;BORA - HANSGROHE
4;4:59:50;Kruijswijk Steven;NED;JUMBO - VISMA
4;5:00:08;Kelderman Wilco;NED;BORA - HANSGROHE
4;5:00:25;Lopez Miguel Angel;COL;ASTANA - PREMIER TECH
4;5:00:43;Fuglsang Jakob;DEN;ASTANA - PREMIER TECH
4;5:01:00;Haig Jack;AUS;BAHRAIN - VICTORIOUS
4;5:01:18;Quintana Nairo;COL;TEAM ARKEA - SAMSIC
4;5:01:35;Valverde Alejandro;SPA;MOVISTAR TEAM
4;5:01:52;Porte Richie;AUS;INEOS GRENADIERS
4;5:02:10;Thomas Geraint;GBR;INEOS GRENADIERS
4;5:02:28;Yates Adam;GBR;INEOS GRENADIERS
4;5:02:45;Yates Simon;GBR;TEAM BIKEEXCHANGE
4;5:03:02;Ciccone Giulio;ITA;TREK - SEGAFREDO
4;5:03:20;Formolo Davide;ITA;UAE TEAM EMIRATES
4;5:03:38;Buchmann Emanuel;GER;BORA - HANSGROHE
