kozterulet;hosszusag;szelesseg;funkcio
Ostoros utca;3;5;fürdőszoba
Szikra utca;4,9;4,4;nappali
Gyékényesi út;2,8;3,4;kamra
Porzó utca;5;3,6;konyha
Gomba utca;3,4;4,4;háló
Gyimesi utca;2,6;2,2;konyha
Pipóhegy utca;3,5;3,3;háló
Tópart utca;3;3,5;dolgozószoba
Tinódi Sebestyén tér;4;3,5;nappali
Halastó utca;2,3;3,5;háló
Damjanich utca;0,9;0,9;kamra
Gyík utca;4,1;6,8;nappali
Ipar dűlő;5,1;4,4;nappali
Ifjúság útja;4,8;4,7;nappali
Tölgy utca;4,4;2,9;háló
Kinizsi utca;2;2,6;háló
Csörlő utca;2,2;2,7;háló
Ezüstfa utca;2,6;4;háló
Pacsirta köz;4,7;2,4;fürdőszoba
Tölgy utca;2;2,8;kamra
Bordányi köz;3,6;3,2;dolgozószoba
Zárda utca;3,1;4,5;háló
Vöcsök utca;2,5;2,2;konyha
Küküllői utca;3,1;2,6;fürdőszoba
Csipkebogyó utca;4,5;5,4;nappali
Agyagos utca;2,2;3,7;fürdőszoba
Mata János utca;2,9;4,6;fürdőszoba
Agyagos utca;5,5;4,9;nappali
Ujjaskosbor utca;2,6;2,4;fürdőszoba
Basahíd utca;2,9;3,1;konyha
Kapisztrán út;1,4;1,2;WC
Pemetefű utca;3,7;3,2;háló
Nyilassy utca;2;2,5;gardrób
Rutafű utca;2,8;2,6;erkély
Csúcs utca;4,1;4,1;nappali
Borbolya utca;1,1;1,1;WC
Szentiváni dűlő;5,1;2,6;konyha
Bocskai utca;1,8;1,5;WC
Berlini körút;2,6;3,2;háló
Alkony utca;3;2,2;fürdőszoba
Agyagos utca;2,3;1,7;gardrób
Bondorhát utca;0,9;0,8;kamra
Rókus utca;1;1;kamra
Nyitra utca;3,9;2,9;háló
Cser utca;2,6;3,7;háló
Bánki Donát utca;2,4;2,8;dolgozószoba
Béke utca;3,1;2,9;háló
Tündér utca;2,6;2,2;fürdőszoba
Magház utca;3,8;1,7;kamra
Fogarasi utca;5;5,9;nappali
Mátyás király utca;7;4,3;nappali
Kékszőlő utca;2,2;3,5;háló
Dalos utca;2,1;2,7;háló
Tündérhegy utca;2,2;3,2;dolgozószoba
Zsák utca;3,5;3,7;háló
Kisvasút sor;2,1;3,1;kamra
Leánder utca;2,4;3,5;háló
Ív utca;2,4;3,5;terasz
Pelyva utca;3,8;2,5;háló
Apály utca;1,5;1,1;WC
Zsolnai utca;4;2,1;háló
Mata János utca;3,9;4,4;háló
Zárda utca;4,3;2,9;háló
Vájáriskola utca;3,4;3,9;háló
Nagy-Eged utca;2,7;2,7;erkély
Dió utca;3,1;3,5;háló
Május 1. utca;3;2,8;háló
Mézeskard utca;5,9;5,2;nappali
Fürtös köz;1,6;1,9;erkély
Kút utca;3,7;4,2;háló
Átrium köz;2,2;3,9;dolgozószoba
Gomba utca;6,4;6,1;nappali
Piroska tér;2,4;2,3;fürdőszoba
Gyimesi utca;3,9;3,9;gardrób
Bondorhát utca;2,4;3,5;háló
Oltványi utca;3,2;2,7;kamra
Odú utca;2,3;2,3;fürdőszoba
Kékszőlő utca;1,3;1,3;WC
Bárány utca;4,9;4,7;nappali
Gábor Áron utca;4,2;3,9;háló
Sípos köz;2,5;1,8;erkély
Rétikanyar utca;3;2,9;dolgozószoba
Pécsi út;3,6;4,9;háló
Pécsi út;2,8;2,9;erkély
Máglya sor;5,9;3,8;nappali
Medok utca;4,8;4,8;háló
Szarvas tér;4,1;3,3;fürdőszoba
Fogarasi utca;4,3;4,2;háló
Márták dűlő;2,2;2,3;háló
Tócópart utca;4,3;3,1;háló
Gerle utca;2,7;2,8;fürdőszoba
Petőfi Sándor utca;2,3;2,9;fürdőszoba
Hattyas utca;1,6;1,5;WC
Pesti utca;2,3;2,9;erkély
Zárda utca;3;3,1;kamra
Boszorkányfű utca;3;2,4;konyha
Harmat utca;2,6;3,9;dolgozószoba
Regina utca;2,5;4,8;háló
Nagyecsed utca;4,8;4,3;fürdőszoba
Szikes utca;1,2;1,8;kamra
Csipkebogyó utca;4;4,9;konyha
Kölcsey Ferenc tér;2,2;3,8;háló
Mészöly Géza utca;2,2;1,3;erkély
Mécsvirág utca;3,3;3,6;konyha
Eszperantó tér;2,3;1,8;erkély
Sziget utca;1,2;1,9;WC
Kard utca;3,1;2,1;fürdőszoba
Magház utca;2,7;2,6;erkély
Apafi utca;3,9;2,4;háló
Rézvirág utca;2,5;3,4;terasz
Mocsáry Lajos utca;2,7;3;kamra
Nagyfekete út;2,6;2,2;erkély
Vető utca;4,1;4,3;háló
Sípos köz;4,4;3,2;háló
Sajó utca;2,8;3,2;gardrób
Figyelőhalmi út;4,4;4,2;nappali
Vadrózsa sor;5,8;6,2;nappali
Boszorkányfű utca;1,1;1,1;WC
Törköly utca;4;4,5;fürdőszoba
Bodomi út;1,4;1,4;WC
Toldás köz;3,9;2,9;háló
Görgény utca;3,7;2,4;dolgozószoba
Lilla köz;4,8;3,5;konyha
Külüs köz;4,7;5;konyha
Szíjártó köz;2,7;3,1;háló
Gyergyó utca;3,8;4,1;háló
Rézvirág utca;3,9;2,4;gardrób
Platán utca;3,9;3,9;konyha
Ráchegy utca;2;2,3;gardrób
Szikes utca;2,8;2,9;erkély
Akácfa utca;4,7;2,3;konyha
Panoráma tér;2,6;4,4;háló
Köszörűs utca;2,2;2,2;erkély
Tegzes utca;1;0,9;kamra
Úszó utca;2;2,5;fürdőszoba
Pacsirta köz;1,2;1,4;WC
Odú utca;2,6;3,2;háló
Hegyköz utca;1,8;1,8;erkély
Síntelep utca;2,7;2,8;fürdőszoba
Gyergyó utca;2,3;4,1;konyha
Ingovány utca;3,8;3,3;háló
Csikós utca;1,1;1,2;WC
Nagyecsed utca;3,8;3,7;háló
Hadnagy utca;2,6;2,3;háló
Tündérhegy utca;3,6;3,3;háló
Téglagyár utca;2,1;4,4;háló
Kard utca;2,2;3,8;mosókonyha
Madár utca;2,5;2,6;fürdőszoba
Panda tér;3,2;3,1;konyha
Kormorán utca;4,3;3;fürdőszoba
Csákósor utca;2,6;2;háló
Rózsástelep utca;3,8;3,2;háló
Küküllői utca;3,2;2,6;dolgozószoba
Malvin utca;1,4;2,3;erkély
Hegedű utca;1,6;1,4;erkély
Lehel utca;3,1;3,2;fürdőszoba
Guti utca;4,3;5,1;nappali
Paphegy utca;3,6;3,3;kamra
Pék utca;2,9;2,8;fürdőszoba
Gorkij utca;1,1;2;WC
Huba köz;4,2;3,4;háló
Borbála utca;2,3;3,7;kamra
Csöndes utca;3,4;2,7;háló
Törő utca;3,7;3,4;háló
Orgona sor;2,3;2,1;gardrób
Pemetefű utca;2,1;1,6;erkély
Vályogos utca;3,1;2,7;konyha
Pisztácia utca;5;6,7;nappali
Berlini körút;4,8;4,8;háló
Tenkes köz;2,9;2,7;dolgozószoba
Béke utca;3,3;3,5;fürdőszoba
Kecsege utca;2,2;3;háló
Síntelep utca;1,8;1,7;erkély
Iringó utca;0,9;0,8;kamra
Majdáni sor;2,1;2,8;fürdőszoba
Fogarasi utca;2,3;4,4;háló
Vágóhíd utca;2;1,8;gardrób
Ezüst utca;2,3;3,7;háló
Bocskai utca;3,8;2,7;kamra
Hangyás köz;3,6;4,6;háló
Tóth Árpád utca;4;3,5;fürdőszoba
Hentes utca;2,3;4,1;háló
Szentháromság utca;2,5;3,6;terasz
Merkúr utca;2,2;3,9;dolgozószoba
Aranypohár dűlő;1,1;1,2;WC
Rendező tér;3,4;2,1;kamra
Mayer Miklós utca;3,4;2,7;háló
Pisztácia utca;5;4,2;háló
Verőszala utca;3,8;2;gardrób
Cserép köz;2,6;3,8;konyha
Tóparti út;1,1;1,4;WC
Ipar dűlő;4,3;3;háló
Mata János utca;4,9;5,8;nappali
Perczel Mór utca;4,9;4,2;nappali
Tóth Árpád utca;1,2;1,3;WC
Gyulafehérvári utca;4,3;3,7;háló
Dorottya utca;2,3;2,5;dolgozószoba
Csúcs utca;2,6;2,8;háló
Máglya sor;1,7;1,3;erkély
Fokos utca;3,1;3,2;fürdőszoba
Kartács utca;4,4;5,3;nappali
Huba köz;2,3;2,9;háló
Remenyik Zsigmond utca;2,3;2;háló
Gyimes utca;4,3;4,4;háló
Tas utca;0,9;0,8;kamra
Tükrösszív utca;2,9;2;erkély
Guti utca;2,1;2,6;erkély
Emese utca;1,1;1,4;WC
Lomnici utca;2,7;2,6;erkély
Péchy utca;1,1;1,7;WC
Trinitárius utca;3,4;2,8;kamra
Gőz utca;4;3,3;dolgozószoba
8. utca;2,8;3,1;gardrób
Aranylile utca;0,8;1;kamra
József Attila sugárút;4,9;5,4;nappali
Janicsár utca;3,5;2,6;háló
Barcaság utca;2,7;4;dolgozószoba
Olajfa utca;4,4;2,9;háló
Mák utca;1,4;1,3;WC
Szatymazi utca;2,4;2;fürdőszoba
Tábornok utca;3,7;2;háló
Kincseshegy utca;2,1;2,6;fürdőszoba
Kétmalom utca;2,1;3,3;fürdőszoba
Bokréta utca;3,4;3,3;dolgozószoba
Déva utca;1,6;1,3;kamra
Tizeshonvéd utca;4;3,1;háló
Szarkaláb utca;5,3;4;nappali
Arad utca;4,2;4,4;háló
Gyékényesi út;2,5;3,9;kamra
Odú utca;2,5;2;dolgozószoba
Sarlófű utca;3,8;2,4;háló
Görgény utca;3,6;3,4;háló
Veresgyűrű utca;3,6;3,3;konyha
Hatház utca;2,3;2,1;fürdőszoba
Sármás utca;4;4,3;háló
Vágóhíd utca;3,8;2,7;fürdőszoba
Hortenzia utca;3,9;3,4;háló
Ív utca;2;2,8;dolgozószoba
Géza utca;3,1;4,9;háló
István király tér;3,6;4,9;háló
Mata János utca;4,1;3,8;háló
Bazsarózsa utca;2,5;2,3;konyha
Kormorán utca;1,5;1,6;WC
Füzes utca;3,3;3,5;háló
Kisfaludy Sándor út;1,3;1,2;WC
Vadliba utca;2,6;2,4;gardrób
Hajlat utca;2,5;3;fürdőszoba
József Attila sugárút;1,9;1,7;WC
Felsőpércsi utca;2,6;2,5;fürdőszoba
Hattyas utca;4,9;4,8;háló
Főző utca;4,9;3,3;háló
Leánder utca;2,8;2,6;háló
Akácfa utca;4,4;6,7;nappali
Ujjaskosbor utca;2,8;3;fürdőszoba
Agyagos utca;2,7;3,1;háló
Pinty utca;2;4,5;fürdőszoba
Bárány utca;3,3;2,5;háló
Boldizsár utca;4,7;4,5;nappali
Kerékgyártó utca;3,2;3;konyha
Tisza utca;1,4;1;WC
Trafó köz;2,5;3,9;kamra
Barna utca;2,6;4,7;háló
Bondorhát utca;1,3;1,2;WC
Kard utca;5,1;4;konyha
Tímár utca;2,6;4,4;háló
Bartók Béla út;1,3;1,6;kamra
Zsák utca;2,5;3,5;dolgozószoba
Tölgy utca;4,9;4,9;háló
Vénusz utca;3,5;3;fürdőszoba
Szilágyság utca;2,7;4;háló
Vajdahunyad utca;2;2,8;konyha
Kefés utca;2,2;2,4;konyha
Törő utca;1,5;1,2;kamra
Károli Gáspár utca;2;3,6;háló
Küküllői utca;1,3;1,2;WC
Boldizsár utca;4,4;2,1;konyha
Kertész utca;3,5;2,4;háló
Mészöly Géza utca;2,1;4,4;háló
Szömörce utca;2,6;3;fürdőszoba
István út;3,7;2,8;fürdőszoba
Boldizsár utca;1,1;1;WC
Porzó utca;2,1;1,7;kamra
Ungvár utca;2,4;3,8;terasz
Átrium köz;4,6;2,5;háló
Éger utca;1,5;1,1;WC
Richter Gedeon utca;2,6;3,9;háló
Szentmihályteleki utca;2,5;2,6;fürdőszoba
Iszalag út;3,3;3,4;háló
Hegyközség utca;1,2;1,4;WC
Tóth Árpád utca;3,8;3,7;nappali
Pelyva utca;4,8;4,5;nappali
Medok utca;3;3,7;háló
Tárnokfű utca;2,9;3,4;háló
Basahíd utca;3,6;2,1;konyha
Bükkmogyoró utca;1,1;1;WC
Nárcisz utca;3,9;3,1;fürdőszoba
Tükrösszív utca;4,6;4,3;háló
Hajlat utca;2,7;2,9;mosókonyha
Honvéd utca;4,3;4,9;nappali
Pitypang utca;2,2;1,7;kamra
Medok utca;4,5;4,4;háló
Szamóca utca;1,6;1,5;erkély
Szikra utca;6;5,9;nappali
Verőszala utca;2,6;2,2;terasz
Völgyérhát utca;1,8;1,5;WC
Kincseshegy utca;3,7;2,6;háló
Macskási út;1,8;1,5;kamra
Vértanú utca;3,5;4,2;konyha
Mészöly Géza utca;2,4;4,1;háló
Mályva utca;3,7;4,6;fürdőszoba
Zsolnai utca;3;2,2;konyha
Templom köz;4,1;3,4;háló
Kút utca;3,6;3,3;fürdőszoba
Trinitárius utca;3,9;2,6;háló
Öreghegyi utca;2,3;1,8;gardrób
Körtvélyes utca;4,6;4,8;nappali
Küküllő utca;2;1,1;WC
Tóparti út;3,6;4,3;háló
Oltványi utca;3,8;2,4;mosókonyha
Tóth Árpád utca;3,8;5;nappali
Körtöltés utca;3,8;3,9;nappali
Köszörűs utca;1,2;1,2;WC
Fekete István utca;1,4;1,2;WC
Lant utca;1,2;1,5;WC
Késmárk utca;1;1,4;WC
Cinege utca;5;3,7;konyha
Lakatgyár utca;1,4;1,6;kamra
Liliomkert utca;3,3;3,9;dolgozószoba
Huba köz;1,8;1,7;kamra
Honfoglalás utca;2,7;3,8;háló
Szarkaláb utca;2,1;2,1;dolgozószoba
Földibodza utca;2,9;3,3;dolgozószoba
Teve utca;4,2;4,2;háló
Thomas Mann utca;3,8;2,6;háló
Bornemissza utca;4,7;3;háló
Tisza utca;3;4,2;háló
Köteles utca;4,2;5,9;konyha
Guti utca;4,2;2,4;háló
Viola utca;3,8;2,1;háló
Kartács utca;2,8;3;háló
Medok utca;2,2;3,9;kamra
Borbolya utca;3,7;2,6;háló
Pipóhegy utca;3,8;3,3;háló
Vaszy Viktor tér;3,2;4,1;háló
Szeremlei utca;0,9;0,9;kamra
Maklári út;3;4;háló
Ady park;2,7;3,6;háló
Márták dűlő;0,9;0,8;kamra
Hell Miksa utca;3,5;3,3;dolgozószoba
Tomori Pál utca;4,2;3,6;háló
Bokros utca;1,6;1,5;erkély
Pilinszky János utca;3,3;3,4;fürdőszoba
Kolónia utca;2;3,5;háló
Medok utca;3,4;2,8;gardrób
Harangos utca;4;3,8;nappali
Szólát utca;3,6;2,2;háló
Ifjúság útja;5,3;3,9;nappali
Apály utca;3,1;2,4;háló
Ráchegy utca;2,1;2,5;dolgozószoba
Majdáni sor;5,2;3,7;nappali
Csúcs utca;3;1,9;kamra
Külüs köz;4;3,9;háló
Tóparti út;2,8;3,5;dolgozószoba
Csertő utca;2,8;3,2;háló
Eszperantó tér;2,9;3,5;konyha
Sármás utca;3,2;3,6;háló
Daru utca;3,2;3,2;háló
Olasz utca;2,1;2,2;dolgozószoba
Bimbó utca;1,7;1,4;erkély
Magház utca;4,5;4,8;háló
Richter Gedeon utca;4,1;3,1;háló
Káka utca;2,9;4;háló
Átrium köz;3,8;4,1;háló
Zárda utca;2,5;4,2;konyha
Kisfenyves utca;3,3;3,7;háló
Platán utca;2,6;2,5;háló
Napfény utca;2,6;3,4;háló
Szamóca utca;2,5;2,3;háló
Szeremlei utca;2,2;2,1;fürdőszoba
Fogarasi utca;2;2,1;gardrób
Pék utca;3,9;2,1;háló
Töviskes utca;3,4;2,2;dolgozószoba
Hegyköz utca;4,4;2,5;háló
Ladik utca;2,9;3;háló
Hortenzia utca;3,8;4,4;háló
Éva utca;3,7;3,3;dolgozószoba
Mészöly Géza utca;2,3;3,3;fürdőszoba
Vízimolnár utca;1,8;1,7;kamra
Ujjaskosbor utca;1,2;1;WC
Lant utca;3,2;2,2;háló
Ujjaskosbor utca;4,4;3,7;háló
Síp utca;3;4,3;fürdőszoba
Verőszala utca;2,5;4;kamra
Déva utca;2,7;3,3;konyha
Monostorerdő köz;2,1;2,3;fürdőszoba
Kövirózsa utca;3,7;3,4;háló
Agyagos utca;4,4;3,7;háló
Hatvan utca;2,3;3,6;konyha
Merkúr utca;2;2,9;háló
Múzeum utca;2,5;3,3;terasz
Alkony utca;3,4;2,2;háló
Úszó utca;0,8;0,9;kamra
Barcaság utca;3,8;3,7;háló
Tábornok utca;1,4;1,5;WC
Máglya sor;3,4;3,8;háló
Baross utca;2,2;2,2;mosókonyha
Arató utca;5,1;3,6;nappali
Küküllői utca;3;3,9;konyha
Verőszala utca;2,7;2,8;kamra
Mátyás király utca;3,7;3,6;háló
Hungária utca;3,1;4,9;konyha
Lant utca;2,2;2,2;fürdőszoba
Éger utca;1,6;1,9;WC
Parittya utca;2,7;2,9;háló
Bartók Béla tér;3,2;2,1;háló
Ív utca;2,7;3,3;gardrób
Leányka utca;1;2,4;erkély
Cserép köz;2,8;3,5;konyha
Dandár utca;2,9;2,1;erkély
Petresi utca;2,2;2,3;gardrób
Lant utca;0,9;0,9;kamra
Mézeskalácsos utca;3,4;3,6;konyha
Herke utca;3,1;2;háló
Nagy-Eged utca;2,3;3,4;gardrób
Vaszy Viktor tér;2,6;3,5;háló
Mókus utca;2,4;1,8;erkély
Hadnagy utca;3,5;2,8;fürdőszoba
Nagykőporos út;4,7;5,3;nappali
Kecskeméti utca;3,5;3,3;háló
Kormorán utca;4,2;3;fürdőszoba
Stadion utca;2,3;3,1;kamra
Őszapó utca;1,2;1,1;WC
Eszperantó tér;3,2;3,5;dolgozószoba
Szérűskerti sor;3,9;4;háló
Káliz utca;0,9;0,8;kamra
Vénusz utca;2;1,2;WC
Bodrog utca;1,2;1,2;kamra
Pancsovai utca;3,4;3;dolgozószoba
Nagyfekete út;4,9;4,7;nappali
Rózsamajor köz;1,3;1;WC
Lehel utca;2,7;2,3;kamra
Vető utca;6,8;6,3;nappali
Ostoros utca;3,9;3,9;háló
Szepesi utca;3,9;4,1;háló
Veresgyűrű utca;2,3;2,4;erkély
Mészöly Géza utca;3,6;4;háló
Pincés utca;3,3;3,1;konyha
Rókus utca;2,5;2,4;erkély
Toldás köz;5;3,1;háló
Teve utca;4,2;4,4;fürdőszoba
Krisztina utca;2,6;2,3;fürdőszoba
Szikes utca;2;2,5;fürdőszoba
Limány köz;2;2,4;háló
Vető utca;2,6;3,8;terasz
Ambrus utca;4,1;4,7;háló
Tópart utca;4,5;5,7;nappali
Trencsén utca;3,4;3,1;háló
Kamilla utca;2;3,7;dolgozószoba
Báthori utca;1,7;1,6;WC
Gábor Áron utca;4;4,9;nappali
Platán utca;0,9;0,9;kamra
Déri tér;1,2;1;kamra
Petresi utca;3,2;2,1;konyha
Méheskert utca;2,8;3,6;háló
Csipkebogyó utca;2,4;2,3;gardrób
Pacsirta utca;4,1;3,7;nappali
Kálmos utca;2,5;2,9;dolgozószoba
Mezőhegyi út;2,4;2,4;fürdőszoba
Dorogi utca;6;4,8;nappali
Vöcsök utca;2,7;4,4;konyha
Vájáriskola utca;1,5;1,9;kamra
Cséplő utca;2,6;3,1;háló
Halasi utca;2,9;3,4;háló
8. utca;2,8;3,3;háló
Vízimolnár utca;3,4;2,7;háló
Mandula utca;3,2;3,8;háló
Pinty utca;3,9;3,7;kamra
Csertő utca;1,2;2;kamra
Vízimolnár utca;3,3;2;dolgozószoba
Verőszala utca;2,7;2,3;erkély
Krónikás utca;2,1;4;terasz
Basahíd utca;3,9;2,2;konyha
Vályogos utca;6,2;4,2;nappali
Homoródi utca;3,6;3,9;dolgozószoba
Öreghegyi utca;4,4;3,2;háló
Görgény utca;2,5;2;háló
Pécsi út;3,1;3,5;konyha
Remenyik Zsigmond utca;2,4;2,2;konyha
Malvin utca;3,1;3;háló
Budapesti út;2,4;2,4;gardrób
Vadkerti tér;3,5;4,4;fürdőszoba
Védőnő utca;1,3;1,1;WC
Kórház utca;3,9;4,3;háló
Hattyas utca;1,6;2;WC
Liliomkert utca;2,7;2,1;terasz
Kút utca;2,1;1,6;gardrób
Malvin utca;3,4;2,5;háló
Szikigyakor utca;4;3,6;nappali
Perczel Mór utca;2,5;3,7;háló
Vásárhelyi Pál utca;2,1;1,7;erkély
Tank utca;4,9;5;nappali
Avar köz;1,3;1,5;erkély
Mézeskard utca;2,3;3,2;dolgozószoba
Déri tér;2,5;1,5;gardrób
Marostorok utca;3,9;2,6;fürdőszoba
Szövetkezeti út;3,9;4,4;háló
Törő utca;1,8;2,8;erkély
Ostoros utca;2,8;2,8;háló
Pápai utca;2,1;2,3;konyha
Gyékényesi út;4,8;4,4;konyha
Iszalag út;2,4;3,8;konyha
Ipar dűlő;4,3;4,1;háló
Boszorkánysziget utca;1,2;1,2;WC
Sziget utca;2,5;2,7;háló
Kölcsey Ferenc tér;2;2,1;háló
Trafó köz;3,5;4,1;háló
Várad utca;2;2,3;gardrób
Téglaverő utca;3,3;3,8;konyha
Szólát utca;1,1;1,8;erkély
Tomori Pál utca;6;6,6;nappali
Kórház utca;2,7;2;kamra
Hungária utca;3,6;3,4;terasz
Ajtony köz;3,9;3,3;terasz
Közép fasor;1,7;2,1;erkély
Thomas Mann utca;1,3;1,2;WC
Galagonya utca;3,3;3,3;dolgozószoba
Almagyar köz;6,1;4,3;nappali
Kard utca;4,5;3,6;konyha
Vízimolnár utca;5;5,1;nappali
Piac utca;0,9;1;kamra
Rózsamajor köz;0,9;0,8;kamra
Szarkaláb utca;2,5;4,4;háló
Szólát utca;1;0,8;kamra
Berlini körút;4,6;3,4;fürdőszoba
Regina utca;6,9;6,7;nappali
Lakatgyár utca;2,2;2,3;háló
Déri tér;4,3;5,2;nappali
Palánták dűlő;0,9;0,8;kamra
Tüzér utca;2,7;3,5;konyha
Görgény utca;2,1;3;konyha
Martinka sor;1,2;2,5;erkély
Páfrány utca;3,9;3,6;háló
Kálmos utca;2,6;2,6;fürdőszoba
Föld utca;4,5;5,5;konyha
Szentmihályteleki utca;2;2,4;fürdőszoba
Népkert sor;3,6;4;háló
Bocskai utca;3,4;3,2;gardrób
Lant utca;3,9;3,9;konyha
Rózsástelep utca;3,5;2,8;konyha
Lakatgyár utca;4;3,9;háló
Máglya sor;2;1,7;gardrób
Vértanú utca;4,1;3,3;konyha
Homoródi utca;4,8;4,8;nappali
Krónikás utca;6,3;6,9;nappali
Vénusz utca;4,6;3,6;háló
Nagybecskereki utca;3;2,3;fürdőszoba
Zsurló utca;2,3;3,9;háló
Olajfa utca;5,7;3,9;konyha
Trafó köz;1,7;1,4;WC
Vág utca;3,1;3,2;háló
Kétmalom utca;4,2;4,4;konyha
Fenyő utca;4;4,7;háló
Sóvirág út;6,4;6,2;nappali
Déri tér;3,2;3,1;fürdőszoba
Ív utca;5,7;3,3;konyha
Bodomi út;2,2;1,1;erkély
Bokros utca;4;3;háló
Zsurló utca;4,6;4,9;nappali
Május 1. utca;3,2;4;fürdőszoba
Palotás utca;2,4;4,5;fürdőszoba
Szélpart utca;2,7;3,9;gardrób
Bartók Béla út;3,9;3,6;fürdőszoba
Apály utca;3,1;2,8;háló
Rosta köz;1,9;1,8;gardrób
Ág utca;3,9;3,1;mosókonyha
Sajtoló utca;2,3;2,6;háló
Vető utca;2,8;4,8;háló
Balaton utca;4,4;2,3;háló
Mézeskard utca;3,1;5,1;konyha
Tárnokfű utca;2,1;3;háló
